	990000001030302486,(Aleph)103EMU01	WD				
ocm43641175	990000006780302486,(Aleph)678EMU01	WD				
	990000018840302486,(Aleph)1884EMU01	WD				
ocm7638531	990000022580302486,(Aleph)2258EMU01	WD				
ocm45343341	990000032890302486,(Aleph)3289EMU01	WD				
ocm44075913	990000034440302486,(Aleph)3444EMU01	WD				
	990000044970302486,(Aleph)4497EMU01	WD				
	990000060010302486,(Aleph)6001EMU01	WD				
ocm45436392	990000063000302486,(Aleph)6300EMU01	WD				
ocm39887109	990000071080302486,(Aleph)7108EMU01	WD				
ocm28377276	990000091980302486,(Aleph)9198EMU01	WD				
ocm43555245	990000107320302486,(Aleph)10732EMU01	WD				
ocm43864379	990000124180302486,(Aleph)12418EMU01	WD				
ocm43615463	990000128900302486,(Aleph)12890EMU01	WD				
ocm45209156	990000130730302486,(Aleph)13073EMU01	WD				
ocm44153668	990000134390302486,(Aleph)13439EMU01	WD				
ocm45678672	990000141950302486,(Aleph)14195EMU01	WD				
ocm32200191	990000142960302486,(Aleph)14296EMU01	WD				
ocm45178453	990000143200302486,(Aleph)14320EMU01	WD				
ocm43474688	990000144030302486,(Aleph)14403EMU01	WD				
ocm44130169	990000145010302486,(Aleph)14501EMU01	WD				
ocm44464252	990000145120302486,(Aleph)14512EMU01	WD				
ocm43499514	990000146750302486,(Aleph)14675EMU01	WD				
ocm46369659	990000153490302486,(Aleph)15349EMU01	WD				
	990000159190302486,(Aleph)15919EMU01	WD				
ocm41035414	990000161170302486,(Aleph)16117EMU01	WD				
ocm43903545	990000162350302486,(Aleph)16235EMU01	WD				
ocm42667941	990000167730302486,(Aleph)16773EMU01	WD				
ocm44516675	990000171010302486,(Aleph)17101EMU01	WD				
ocm44545226	990000175210302486,(Aleph)17521EMU01	WD				
ocm43751610	990000178310302486,(Aleph)17831EMU01	WD				
ocm44133088	990000189920302486,(Aleph)18992EMU01	WD				
ocm42680494	990000189930302486,(Aleph)18993EMU01	WD				
ocm44627283	990000193820302486,(Aleph)19382EMU01	WD				
ocm45126991	990000197750302486,(Aleph)19775EMU01	WD				
ocm44075985	990000213710302486,(Aleph)21371EMU01	WD				
ocm37115199	990000214580302486,(Aleph)21458EMU01	WD				
ocm35650975	990000216850302486,(Aleph)21685EMU01	WD				
ocm5353416	990000217360302486,(Aleph)21736EMU01	WD				
ocm44110467	990000220140302486,(Aleph)22014EMU01	WD				
	990000220190302486,(Aleph)22019EMU01	WD				
ocm42588023	990000227250302486,(Aleph)22725EMU01	WD				
	990000242450302486,(Aleph)24245EMU01	WD				
ocm45545898	990000246970302486,(Aleph)24697EMU01	WD				
ocm2835919	990000249580302486,(Aleph)24958EMU01	WD				
ocm16224725	990000252860302486,(Aleph)25286EMU01	WD				
ocm43859383	990000259860302486,(Aleph)25986EMU01	WD				
ocm2648115	990000261390302486,(Aleph)26139EMU01	WD				
ocm3279873	990000261400302486,(Aleph)26140EMU01	WD				
ocm40886056	990000261420302486,(Aleph)26142EMU01	WD				
ocm2159555	990000261440302486,(Aleph)26144EMU01	WD				
ocm44089489	990000265650302486,(Aleph)26565EMU01	WD				
	990000273930302486,(Aleph)27393EMU01	WD				
ocm45195553	990000276940302486,(Aleph)27694EMU01	WD				
ocm45129445	990000280290302486,(Aleph)28029EMU01	WD				
ocm648821	990000304430302486,(Aleph)30443EMU01	WD				
ocm43525187	990000307330302486,(Aleph)30733EMU01	WD				
ocm45505893	990000326770302486,(Aleph)32677EMU01	WD				
ocm44089313	990000331150302486,(Aleph)33115EMU01	WD				
	990000338960302486,(Aleph)33896EMU01	WD				
	990000348270302486,(Aleph)34827EMU01	WD				
ocm44118049	990000348550302486,(Aleph)34855EMU01	WD				
ocm46693366	990000350130302486,(Aleph)35013EMU01	WD				
ocm45202312	990000359510302486,(Aleph)35951EMU01	WD				
ocm45307500	990000360610302486,(Aleph)36061EMU01	WD				
ocm44775063	990000365800302486,(Aleph)36580EMU01	WD				
ocm28584441	990000368770302486,(Aleph)36877EMU01	WD				
	990000372050302486,(Aleph)37205EMU01	WD				
ocm46540699	990000379920302486,(Aleph)37992EMU01	WD				
ocm22608292	990000394460302486,(Aleph)39446EMU01	WD				
ocm44425402	990000395900302486,(Aleph)39590EMU01	WD				
ocm45830243	990000396220302486,(Aleph)39622EMU01	WD				
ocm46468198	990000405620302486,(Aleph)40562EMU01	WD				
	990000407670302486,(Aleph)40767EMU01	WD				
ocm44502296	990000418000302486,(Aleph)41800EMU01	WD				
ocm44681897	990000430530302486,(Aleph)43053EMU01	WD				
ocm44681897	990000430530302486,(Aleph)43053EMU01	WD				
ocm44681897	990000430530302486,(Aleph)43053EMU01	WD				
ocm44681897	990000430530302486,(Aleph)43053EMU01	WD				
(OCoLC)45661670	990000437790302486,(Aleph)43779EMU01	WD				
ocm48489790	990000438980302486,(Aleph)43898EMU01	WD				
ocm44313506	990000442090302486,(Aleph)44209EMU01	WD				
ocm45137525	990000442390302486,(Aleph)44239EMU01	WD				
ocm42912735	990000442960302486,(Aleph)44296EMU01	WD				
ocm42980185	990000445290302486,(Aleph)44529EMU01	WD				
ocm42475718	990000449280302486,(Aleph)44928EMU01	WD				
ocm46463330	990000452300302486,(Aleph)45230EMU01	WD				
ocm44467422	990000461070302486,(Aleph)46107EMU01	WD				
ocm44775221	990000464970302486,(Aleph)46497EMU01	WD				
ocm46863970	990000475020302486,(Aleph)47502EMU01	WD				
ocm46863970	990000475020302486,(Aleph)47502EMU01	WD				
	990000477060302486,(Aleph)47706EMU01	WD				
ocm47132329	990000479030302486,(Aleph)47903EMU01	WD				
ocm45757727	990000484670302486,(Aleph)48467EMU01	WD				
ocm20258782	990000486420302486,(Aleph)48642EMU01	WD				
ocm45951677	990000493050302486,(Aleph)49305EMU01	WD				
ocm45558985	990000493450302486,(Aleph)49345EMU01	WD				
ocm45806437	990000493500302486,(Aleph)49350EMU01	WD				
ocm43672727	990000495540302486,(Aleph)49554EMU01	WD				
ocm20909913	990000497330302486,(Aleph)49733EMU01	WD				
ocm47852172	990000502990302486,(Aleph)50299EMU01	WD				
ocm44774933	990000503530302486,(Aleph)50353EMU01	WD				
ocm44774933	990000503530302486,(Aleph)50353EMU01	WD				
ocm44774933	990000503530302486,(Aleph)50353EMU01	WD				
ocm22259097	990000504890302486,(Aleph)50489EMU01	WD				
ocm45556162	990000522160302486,(Aleph)52216EMU01	WD				
ocm45284700	990000528160302486,(Aleph)52816EMU01	WD				
ocm44181946	990000529790302486,(Aleph)52979EMU01	WD				
	990000537020302486,(Aleph)53702EMU01	WD				
ocm46508204	990000538250302486,(Aleph)53825EMU01	WD				
