(OCoLC)12433266	990000001160302486,(Aleph)000000116EMU01	0739-1927; 0887-0764	0
(OCoLC)43551323	990000001320302486,(Aleph)000000132EMU01	1528-9249	0
(OCoLC)45162629	990000001370302486,(Aleph)000000137EMU01	0899-6253; 1539-8307	0
ocm44993528	990000001760302486,(Aleph)000000176EMU01	1520-2585; 1531-6815	0
(OCoLC)42896946	990000003170302486,(Aleph)000000317EMU01	1020-4768	0
(OCoLC)9681168	990000003250302486,(Aleph)000000325EMU01	None	0
(OCoLC)236229581	990000009890302486,(Aleph)000000989EMU01	None	0
(OCoLC)44808051	990000009950302486,(Aleph)000000995EMU01	None	0
(OCoLC)22416740	990000010170302486,(Aleph)000001017EMU01	1052-9233	0
(OCoLC)53081192	990000010580302486,(Aleph)000001058EMU01	1564-2208	0
ocm26660332	990000013880302486,(Aleph)000001388EMU01	1101-4784	0
(OCoLC)44449273	990000015260302486,(Aleph)000001526EMU01	1566-6573	0
(OCoLC)22298969	990000015340302486,(Aleph)000001534EMU01	1052-5157	0
(OCoLC)28177649	990000015350302486,(Aleph)000001535EMU01	0869-5725	0
ocm43067937	990000018740302486,(Aleph)000001874EMU01	None	0
(OCoLC)45300783	990000018750302486,(Aleph)000001875EMU01	None	0
(OCoLC)45300980	990000018760302486,(Aleph)000001876EMU01	None	0
(OCoLC)45301130	990000018770302486,(Aleph)000001877EMU01	None	0
(OCoLC)39699480	990000023840302486,(Aleph)000002384EMU01	None	0
ocm40794449	990000025190302486,(Aleph)000002519EMU01	None	1
ocm14561067	990000025270302486,(Aleph)000002527EMU01	None	1
(OCoLC)1796303	990000025280302486,(Aleph)000002528EMU01	0083-3274	1
ocm32041462	990000025510302486,(Aleph)000002551EMU01	None	1
ocm33294111	990000025530302486,(Aleph)000002553EMU01	None	1
ocm36149626	990000025600302486,(Aleph)000002560EMU01	None	1
ocm36686234	990000025620302486,(Aleph)000002562EMU01	None	1
ocm36703676	990000025630302486,(Aleph)000002563EMU01	None	1
(OCoLC)38556388	990000025680302486,(Aleph)000002568EMU01	None	1
(OCoLC)39049226	990000025710302486,(Aleph)000002571EMU01	1932-4588	1
ocm42396177	990000025810302486,(Aleph)000002581EMU01	None	1
ocm43492551	990000025900302486,(Aleph)000002590EMU01	None	1
ocm44151144	990000026480302486,(Aleph)000002648EMU01	None	1
ocm45127403	990000027200302486,(Aleph)000002720EMU01	None	1
(OCoLC)45340454	990000028060302486,(Aleph)000002806EMU01	1119-6866	0
ocm45340596	990000028090302486,(Aleph)000002809EMU01	1115-3873	0
ocm45340659	990000028120302486,(Aleph)000002812EMU01	None	0
ocm45340688	990000029230302486,(Aleph)000002923EMU01	1021-9110	0
ocm41089176	990000029690302486,(Aleph)000002969EMU01	None	1
ocm44433991	990000029740302486,(Aleph)000002974EMU01	None	1
ocm1774707	990000030190302486,(Aleph)000003019EMU01	None	1
ocm43371409	990000031060302486,(Aleph)000003106EMU01	1528-3577	0
(OCoLC)44608013	990000032680302486,(Aleph)000003268EMU01	1531-006X	0
(OCoLC)24436049	990000033510302486,(Aleph)000003351EMU01	None	0
ocm1764739	990000034890302486,(Aleph)000003489EMU01	0036-2557	1
ocm45359948	990000035770302486,(Aleph)000003577EMU01	None	0
ocm45360396	990000035780302486,(Aleph)000003578EMU01	None	0
ocm45360485	990000035790302486,(Aleph)000003579EMU01	None	0
ocm28031616	990000041370302486,(Aleph)000004137EMU01	None	1
ocm46815913	990000043530302486,(Aleph)000004353EMU01	None	0
(OCoLC)10699967	990000043640302486,(Aleph)000004364EMU01	0139-0600	0
(OCoLC)40947216	990000044850302486,(Aleph)000004485EMU01	1368-4221	0
ocm20838756	990000044900302486,(Aleph)000004490EMU01	0380-8084	0
(OCoLC)20838628	990000044910302486,(Aleph)000004491EMU01	3836-669X; 0005-6065	0
(OCoLC)20838830	990000044940302486,(Aleph)000004494EMU01	0383-669X	0
(OCoLC)24044392	990000047660302486,(Aleph)000004766EMU01	None	0
(OCoLC)26380054	990000047940302486,(Aleph)000004794EMU01	None	0
(OCoLC)35736661	990000047970302486,(Aleph)000004797EMU01	None	0
